,,,,,GyroX,GyroY,GyroZ,GyroX_MAX,GyroX_MIN,GyroY_MAX,GyroY_MIN,GyroZ_MAX,GyroZ_MIN,GyroX_DIFF,GyroY_DIFF,GyroZ_DIFF
41560,3.4,-0.77,-4.54,41560,1.63,-3.19,-1.11,,,,,,,,,
41570,4.54,-0.41,-15.74,41570,2.18,-3.04,-0.95,,,,,,,,,
41580,6.03,2.1,-23.43,41580,2.22,-2.46,-0.84,,,,,,,,,
41590,6.88,6.48,-27.46,41590,1.87,-1.48,-0.6,,,,,,,,,
41600,7.02,7.72,-25.93,41600,1.24,-0.52,-0.26,,,,,,,,,
41610,6.43,4.98,-19.6,41610,0.51,0.26,0.03,,,,,,,,,
41620,5.79,0.85,-11.06,41620,-0.1,0.62,0.13,,,,,,,,,
41630,5.24,-2.47,-4.94,41630,-0.45,0.56,0.07,,,,,,,,,
41640,5,-4.62,-1.96,41640,-0.56,0.26,-0.11,,,,,,,,,
41650,5.03,-5.52,-2.52,41650,-0.57,-0.12,-0.36,,,,,,,,,
41660,4.98,-4.38,-5.07,41660,-0.52,-0.39,-0.6,,,,,,,,,
41670,5.12,-2.01,-7.49,41670,-0.44,-0.53,-0.74,,,,,,,,,
41680,5.5,0.97,-10.12,41680,-0.36,-0.55,-0.76,,,,,,,,,
41690,5.97,4.6,-13.05,41690,-0.25,-0.46,-0.61,,,,,,,,,
41700,5.84,7.53,-15.07,41700,-0.15,-0.2,-0.26,,,,,,,,,
41710,5.75,6.89,-13.75,41710,-0.03,0.08,0.16,,,,,,,,,
41720,5.32,3.75,-10.24,41720,0.08,0.22,0.47,,,,,,,,,
41730,5.12,0.31,-7.36,41730,0.1,0.18,0.6,,,,,,,,,
41740,4.9,-2.62,-6,41740,-0.03,0.06,0.57,,,,,,,,,
41750,4.88,-4.65,-6.05,41750,-0.15,-0.11,0.43,,,,,,,,,
41760,4.81,-5.14,-7.25,41760,-0.22,-0.23,0.23,,,,,,,,,
41770,4.71,-4.67,-8.27,41770,-0.23,-0.29,0.05,,,,,,,,,
41780,4.64,-3.75,-8.92,41780,-0.22,-0.31,-0.09,,,,,,,,,
41790,4.71,-2.38,-9.71,41790,-0.19,-0.32,-0.18,,,,,,,,,
41800,4.72,-0.29,-10.9,41800,-0.15,-0.29,-0.17,,,,,,,,,
41810,4.72,1.16,-11.39,41810,-0.1,-0.19,-0.06,,,,,,,,,
41820,4.65,1.2,-10.85,41820,-0.05,-0.11,0.09,,,,,,,,,
41830,4.61,0.19,-10.17,41830,0.01,-0.07,0.21,,,,,,,,,
41840,4.44,-1.47,-9.65,41840,0.03,-0.05,0.26,,,,,,,,,
41850,4.4,-3.38,-9.32,41850,0.03,-0.06,0.22,,,,,,,,,
41860,4.32,-4.44,-8.7,41860,-0.02,-0.07,0.09,,,,,,,,,
41870,4.4,-4.16,-8.08,41870,-0.07,-0.11,-0.06,,,,,,,,,
41880,4.44,-3.3,-8.55,41880,-0.09,-0.18,-0.18,,,,,,,,,
41890,4.59,-2.39,-9.43,41890,-0.09,-0.19,-0.25,,,,,,,,,
41900,4.69,-1.31,-9.9,41900,-0.05,-0.17,-0.28,,,,,,,,,
41910,4.76,-0.69,-9.95,41910,-0.02,-0.13,-0.26,,,,,,,,,
41920,4.7,-0.06,-9.6,41920,-0.02,-0.09,-0.23,,,,,,,,,
41930,4.72,0.23,-9.05,41930,-0.02,-0.07,-0.16,,,,,,,,,
41940,4.56,0.13,-8.83,41940,0.03,-0.08,-0.09,,,,,,,,,
